"spec","symbol"
"铜","CU"
"螺纹钢","RB"
"锌","ZN"
"铝","AL"
"黄金","AU"
"线材","WR"
"燃料油","FU"
"天然橡胶","RU"
"铅","PB"
"白银","AG"
"石油沥青","BU"
"热轧卷板","HC"
"镍","NI"
"锡","SN"
"纸浆","SP"
"不锈钢","SS"
"丁二烯橡胶","BR"
"PTA","TA"
"白糖","SR"
"棉花","CF"
"普麦","PM"
"菜籽油OI","OI"
"强麦WH","WH"
"玻璃","FG"
"菜籽粕","RM"
"硅铁","SF"
"锰硅","SM"
"甲醇MA","MA"
"棉纱","CY"
"尿素","UR"
"纯碱","SA"
"涤纶短纤","PF"
"PX","PX"
"烧碱","SH"
"棕榈油","P"
"聚氯乙烯","PVC"
"聚乙烯","L"
"豆一","A"
"豆粕","M"
"豆油","Y"
"玉米","C"
"铁矿石","I"
"鸡蛋","JD"
"聚丙烯","PP"
"乙二醇","EG"
"苯乙烯","EB"
"液化石油气","PG"
"生猪","LH"
"工业硅","SI"
"碳酸锂","LC"
